"Timestamp","What is your gender?","What is your age?","What course are you studying at ITU?","What semester of your studies are you currently attending?","In your opinion do you feel that you take a lot of notes in your studies?","In your opinion how is the quality of your academic notes? ","What devices do you mainly take your notes on?","If your notes are digital what application do you use?","If your notes are digital how do you take your notes most often?","When do you usually take your notes for a lecture?  (Tick all that apply)","Where do you usually take your notes?","How has remote learning influenced your note-taking for uni?","In what way did it change? Elaborate.","What is your general notetaking philosophy? What do you focus on including in your notes? (ie. graphical representations weblinks to relevant sources ...)"
"2020/11/13 5:43:40 pm CET","Male","17 - 20 years old","Bachelor Data Science","Semester 1","4","4","Laptop/ PC","Mainly Notion Good Notes for handwritten notes in maths. ","Typing","During the lecture;Day of lecture;Day(s) after lecture","At Home","Positive change","More focused on keeping up with the lecture and taking notes when I am on Zoom. ","I try to gather as much information as possible from all sources I can get and combine them into one comprehensive document. Graphical Representations also help me a lot and I need a lot of structure in my notes. "
"2020/11/13 7:15:16 pm CET","Male","21 - 25 years old","Bachelor Software Development","Semester 3","1","4","Laptop/ PC","Meh","Typing","No","No","No significant influence","",""
"2020/11/13 7:27:40 pm CET","Male","17 - 20 years old","Bachelor Software Development","Semester 3","1","2","Laptop/ PC","","Typing","Before (preparing for lecture)","At Home","No significant influence","","No notes"
"2020/11/17 9:17:02 am CET","Male","21 - 25 years old","Bachelor Data Science","Semester 1","3","2","about half half paper/laptop/ course dependent","onenote","Typing","Day(s) after lecture","At Home","Positive change","having a second monitor to have the lecture feed slides and notes up at the same time make it easier for me","mostly what i think i will forget but my main focus is on keeping them ordered so they are easier to use in posterity"
"2020/11/17 10:28:28 am CET","Female","17 - 20 years old","Bachelor Data Science","Semester 1","4","5","Laptop/ PC;Tablet;Paper","Notability & Google Docs","Typing;Writing (ie. Apple Pencil)","Before (preparing for lecture);During the lecture","At ITU;At Home;At a public space (ie. library/ coffee shop/ ...)","Negative change","Remote learning has impacted my notetaking negatively as I need to use my computer to watch the lecture which does not allow for google docs to be open at the same time (ish)... basically dual screens is a problem","in my notes I include both images and keywords and i believe in quality over quantity"
"2020/11/17 10:39:24 am CET","Male","17 - 20 years old","Bachelor Software Development","Semester 3","1","2","Laptop/ PC;Paper","word ","Typing","During the lecture;Day of lecture","At Home","No significant influence","didnt really","important names / terms / agronyms"
"2020/11/17 10:41:28 am CET","Male","21 - 25 years old","Bachelor Software Development","Semester 5","2","2","Laptop/ PC","Evernote or Visual Studio Code","Typing","During the lecture;Day of lecture;Discussions with TAs","At ITU;At Home","Negative change","No notes when remote","Anything that is not on slides."
"2020/11/17 10:47:13 am CET","Female","17 - 20 years old","Bachelor Global Business Informatics","Semester 3","4","3","Laptop/ PC;Paper","Word","Typing","During the lecture;And after to prepare for exams","At ITU;At Home;At a public space (ie. library/ coffee shop/ ...)","Negative change","It is harder to write notes while watching the online lecture on the same PC","Write and understand it"
"2020/11/17 10:48:37 am CET","Female","21 - 25 years old","Software design","Semester 1","3","2","Laptop/ PC;Tablet;Paper;Phone with external keyboard","Evernote","Typing","Before (preparing for lecture);During the lecture;During meetings in my study group that lead up to","At ITU","Negative change","Everything is video recorded so why bother?","They must be fun to read. For oral exams: write sentences they say a lot and implement them in your presentation at the exam"
"2020/11/17 10:52:05 am CET","Female","21 - 25 years old","Bachelor Software Development","Semester 5","4","3","Laptop/ PC;Paper","evernote","Typing","During the lecture","At ITU;At Home;At a public space (ie. library/ coffee shop/ ...)","Negative change","",""
