Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
"ᴮᴱ
Little Kurdish Girl
☻⁷زهرا⏻N:E",@zahramusa26,2020-10-08T16:03:29.000Z,"NEW VIDEO IS UP!!!
Getting Tested for COVID, Lots of Notetaking, Zoom after Zoom Meeting| F... https://youtu.be/Xln7X7XJyO8 #NewVideoAlert #smallyoutubechannel #smallyoutuber #smallyoutubersupport #smallyoutubercommunity #SmallYouTuberArmy #SmallYouTubersUnite #smallyoutubersGetting Tested for COVID, Lots of Notetaking, Zoom after Zoom...
*Sorry this going up really late. Work and school have been killing me, also I wanted to try a different way of editing. I hope you guys like it!* https://bl...
youtube.com",,,
Joseph Galarneau,@jdgalarneau,2020-08-09T17:19:26.000Z,"Replying to 
@hnshahRegularly use 3 in times of COVID:
* One in portrait mode for Slack & email
* One 4K super wide for all work (writing, notetaking, browsing, coding)
* Center monitor (laptop) for calendar & video conferencing

Without 3, have to be constantly shuffling windows around.",,,
Grace,@Vivid_Valkyrie,2020-07-30T01:45:33.000Z,"Oh thank fuck they finally added a manual notetaking feature to the covid tracer app so you can make notes of where you've been if there isn't a QR code.

ABOUT TIME",,,
Squirrel Jock,@SquirrelJock,2020-07-28T15:14:17.000Z,"When it comes to comparisons of UKGov and ScotGov response to Covid, when winkling out the evidence bear in mind ScotGov’s dislike of notetaking, their rush to make use of FOI much more difficult and the ongoing supine reverence of much of the Scottish media.",,,
Nikashini Sritharan,@NikashiniS,2020-07-28T10:01:25.000Z,"Thank you 
@hippodigitaluk
 for the talk on adapting user research to overcome the challenges during COVID! Hearing about how we can reduce the impact of research on participants and solving the issues around having different notetakers and notetaking styles was particularly useful",,,1
Anubhav Pattnaik,@anubpattnaik,2020-06-25T18:58:22.000Z,"Before COVID-19 , weekends were meant for Netflix & chill but now they are replaced by webinars & notetaking. With everything moving remote, the number of webinars are definitely on the rise . Great to see founders/VCs/PMs/devs share their learnings to the inquisitive crowd :)",,,3
Remember remeber the Kzirk of November,@Kzirk,2020-05-15T13:28:09.000Z,"Thank you 
@MadeBrave
 for a great webinar about relaunch roadmapping after covid. 10 great tips learnt (even if illegible to most in my quick notetaking!)",1,,2
Bhavin Prajapati,@bhavprajapati,2020-05-02T13:50:31.000Z,#doctors #MedicalDoctor #nurses of Twitter | How do you take notes? I'm looking to build a notetaking tool for #healthcareprofessionals adopting #digitalhealth for the world post #COVID__19 #coronavirus,,,
𝐈𝐭𝔷Juz𝔸𝕓𝕓𝕪𝐍𝐎𝐓𝚊𝚋𝚒𝚐𝚊𝚒𝚕,@abbyteo,2020-04-21T10:10:05.000Z,"Live Sign Language Interpretation & Notetaking is available
21 Apr 2020, 5pm

Prime Minister Lee Hsien Loong will address the nation on the COVID-19 situation.

Live Access:
https://facebook.com/SADeafSG/

Live Broadcast:
https://facebook.com/leehsienloong

#SGUnited #SADeaf",,,
Julia Jacobie,@JJacobieSTTR,2020-03-21T15:08:03.000Z,"For those idiots out there Notetaking social distancing and self-isolating seriously, read this terrifying article about COVID-19. It’s not just older and/or vulnerable people at risk but even if it was, STAY HOME!!!!A Medical Worker Describes Terrifying Lung Failure From COVID-19 — Even in His Young Patients
“It first struck me how different it was when I saw my first coronavirus patient go bad. I was like, Holy shit, this is not the flu. Watching this relatively young guy, gasping for air, pink frothy…
propublica.org",,1,
