Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
Emma Duke-Williams,@Emmadw,2020-11-03T16:22:44.000Z,"Zoom - help please. I *think* I once managed to get the chat panel pinned to the side. Now, it floats :( I tried putting the dual screen on/off again. Didn’t work. I have stopped full screen; re-size the main area & put the chat next to it… Is there an alternative??",,1,
Koby,@kobyornotkoby,2020-11-02T11:32:52.000Z,"If anyone is doing online/distance learning, and you have the space (such as a desk), I totally recommend a dual monitor set up (an extra monitor if you use a laptop). It's so helpful to be able to have Teams/Zoom open on one screen and my notes/web browser on the other :) x",,,
kyaligonza derrick,@Derrobates,2020-11-02T05:42:58.000Z,"Kids tablets available 
Dual sim with 4G network 
RAM: 2GB
ROM/storage: 16gb 
Memory card: upto 32gb 
Size: 7 inches with zoom inbuilt 
Operating system: Android 6.1
Gifts inside: power bank,back cover,smart bracelet,glasses, screen guard,AirPod,USB cable etc
Price: 300,000ugshskyaligonza & Sons|K&S| Electronics and 7 others",,6,10
Augusto Barros,@apbarros,2020-10-29T21:25:06.000Z,"For those presenting online (zoom etc) with PowerPoint on a dual monitor Mac, what do you do regarding presenter mode? It seems to only allow you to use the presenter view in full screen, it’s not helpful when you also have the videoconf window to watch",1,,
Timothy B. Corcoran,@tcorcoran,2020-10-28T21:10:33.000Z,"Finally switching to a dual monitor setup on my office Mac. But I'm baffled. In Zoom, if I share a PPT in full-screen mode, it displays the PPT on both full screens. How do I get Zoom (and other apps) on one screen and the PPT in the other? Presenter mode isn't the answer. Help!",3,,
KUWK,@kennedy_chanel_,2020-10-28T17:42:48.000Z,"I wasn’t sure about my dual screen purchase, but let me tell you I wouldn’t have been able to get through online school without it. 

1. Zoom on one screen and notes on the other. 

2. TV on one screen, final paper on the other.",,,
Helen K Nelson,@HelenKNelson,2020-10-28T15:57:35.000Z,"My zoom is stuck on dual screen. It is very annoying and I can’t find the ‘general’ tab, which is where I can apparently disable it. Help!",,,
Amazon IN Deals,@Amzn_IN_Deals,2020-10-27T14:41:14.000Z,"Check out SJCAM SJ8 Pro 12 MP 4K 60fps 2.33"" 30M Waterproof IPS Touch Screen Action Camera with 8X Digital Zoom | Gyro Stabilization | Dual Stereo Microphones | Dual Screen | JPEG/RAW Image Format (Black) by SJCAM https://amzn.to/37JQXhh via 
@amazonSJCAM SJ8 Pro 12 MP 4K 60fps 2.33"" 30M Waterproof IPS Touch Screen Action Camera with 8X Digital...
SJCAM SJ8 Pro 12 MP 4K 60fps 2.33"" 30M Waterproof IPS Touch Screen Action Camera with 8X Digital Zoom | Gyro Stabilization | Dual Stereo Microphones | Dual Screen | JPEG/RAW Image Format (Black)
amazon.in",,,
David,@DavidENorman,2020-10-26T22:41:12.000Z,"Replying to 
@mrwisley
 and 
@Desiree12teachYou do know that Mac is under the recommend specs for Zoom right?

No screen overlays, backgrounds & such 

That dual core CPU benchmarks at 4000 on PC mark. The PC has a 4 core 8 thread  at 6500
Why the DO is spending $1000+ on the PC but only $799 on the Mac",2,,
Hiro,@hiroism4ever,2020-10-26T18:23:55.000Z,"@PeteLau
 My hopes/wishlist for the next 9 Pro... Dual flagship under-screen front cameras, 3 top-level rear cameras (flagship 64mp Sony sensors - Main/Ultra wide/5x-10x opt zoom Periscope) with electrochromic glass over camera, stainless steel side rails/frame, (1/2)",1,,
Brian Horrocks,@PaulineWinrow,2020-10-25T02:31:33.000Z,"Replying to 
@Twelfth_Red@realmeUK
. No it is good And better than the Moto I had nice big screen photos are good videos okay but the one problem they have a 64 mega pixel camera but you can't zoom in with it and NO DAB Radio
I think both SHOULD be included within the price you pay. 90htz 128GB Dual SIM.",,,
Andrew Greenlee,@urbprof,2020-10-21T23:21:36.000Z,"Replying to 
@FieldsDesireeI use a dual monitor setup - I export my presentation as HTML and run on the second monitor and share that screen. Primary monitor has notes and zoom window showing “audience” as well as notes in original presentation file.",1,,1
JiminTitletown,@Gdigger02,2020-10-21T05:52:26.000Z,"Replying to 
@YEMollyI'm inclined to think the dude got a couple screens going and rubbing one out to one while his zoom meeting is going but fucking up Cruz he didn't realize his dual screen was connecting two ways...HOPE IT WAS A DOUBLE DOUBLE ",1,,1
GDW,@FundPoliceNow,2020-10-20T13:33:21.000Z,"Ah, that boring Zoom work meeting is finally done, time for some Toobin'.

It sure is nice to have this dual-screen setup.  I bet people would just die if they knew I was watching a Trump rally.

Speaker squawks: ""Oh my, you know we can see you, right?""",,,2
chloe gibbs,@chloergibbs,2020-10-20T13:22:15.000Z,"Replying to 
@dclingiFor me, standing desk & dual monitors (students’ faces on one screen, slides on the other) have been key. I also use an iPad with Notability app & stylus, connected to the Zoom meeting, to share my slides, so I can write equations, draw figures, etc.",2,1,8
Dr Richard Huysmans,@RichardHuysmans,2020-10-20T08:13:33.000Z,"If you're like me you present on zoom weekly. And you use one screen (COVID means other family members are using the dual screen). And you present PPT in full screen. And you've been wishing you could change that. 
Well...
Here's the answer!
And I think reading mode works too.",3,2,6
Ben Finio,@BenFinio,2020-10-19T15:55:40.000Z,"@zoom_us
 what in the world is going on with dual-monitor recording? It seems impossible to record gallery view and the new multi-pin feature doesn't affect the recording. It only records whoever's showing on the second screen? It this intentional?Zoom Dual Monitors: What Gets Recorded?
I made this video to answer a question I've been getting on several of my other Zoom tutorials - what gets recorded when you're using dual monitors? I found ...
youtube.com",,,
𝗗𝗮𝗶𝗹𝘆𝗯𝗼𝘅𝗶𝗻𝗴𝟯𝟲𝟱,@Dailyboxing365,2020-10-17T16:00:11.000Z,"If you're someone that's constantly in meetings via zoom, may I suggest a dual screen phone like the lgv60 
.  You can play games watch anything you like while simultaneously STILL in that dreadful meeting and listening 
#LifeHacks",,,1
Clara Lee,@_claraaa,2020-10-15T14:12:07.000Z,"My technical issues with zoom teaching so far:
1. figuring out how to share screen using dual monitors
2. video+audio starts playing in the bg because viu decides that it's time for me to return to watching kvariety
3. my zoom bg just disappearing thus revealing my messy room",,,
Ryan Briggs,@ryancbriggs,2020-10-14T22:45:58.000Z,"Replying to 
@electronic_goreThey don’t have dual monitors, and an IDE like R studio takes up most of a laptop screen, which means they can’t also see my version of R studio on zoom. It’s friction, which sucks.",,,
Tracy Kane,@TKaneEdu,2020-10-14T11:57:28.000Z,"Replying to 
@jimknight99
 and 
@zoom_usI have more than one screen and use the dual monitor setting. I also embed videos into google slides presentations. Others have described the same, I believe.",1,,
#Great Teachers never stop learning!,@MsBDuncan,2020-10-14T01:22:16.000Z,"Pack a lot of patience & laugh at yourself when you make a mistake the first 2 weeks We use apple airplay and then I use extend screen share. Which allows me dual screen displays. So I keep Zoom kids on my Macbook and Everyone watches the other screen on AppleTV incl. Zoom kidsQuote Tweet
Marcia Carrillo
@MCarrilloEDU
 · Oct 14
Looking for tips and strategies for teaching A/B schedule face to face, while broadcasting to Ss at home.
#wearecue #pln #edu

What have you learned from your experiences?",1,,1
da vinky,@izzycity_,2020-10-12T22:29:44.000Z,dual monitor set up for zoom school is so dangerous bc you can have zoom one screen and twitter on the other,,,8
Tiger Hollywood,@Tiger_Hollywood,2020-10-10T14:35:18.000Z,"Run a #Zoom Webinar for work on one screen, play #StarWarsSquadrons on the other screen. Dual monitor advantages.",,,1
neil (cullen),@neilcul,2020-10-10T08:04:51.000Z,"Replying to 
@shanselmanThanks!!... Dual screens for work plus a 3rd for low-latency zoom video & screen-sharing 
 @LincolnLUG
 @gmarkall
 

(i.e. laptop screen + VGA + HDMI)",,,1
Nitya Narasimhan | Just #Vote !,@nitya,2020-10-09T21:43:52.000Z,"Replying to 
@jonipepin
 and 
@androidsummitLikewise .. and yes for sure!! I need to catch up on ao many conversations .. plus if you do decide to explore dual screen stuff I'd love to know.

Also really fantastic job on moderation and engagement. The Zoom decision worked out really well ",,,
Karina,@KarinaT24,2020-10-08T11:36:30.000Z,"This is gonna be like giving a presentation on zoom while you look at your notes on a dual screen...GIF
Quote Tweet
CSPAN
@cspan
 · Oct 8
#BREAKING: Commission on Presidential @Debates ANNOUNCES SECOND PRESIDENTIAL DEBATE WILL BE VIRTUAL
Show this thread",,,
fortechnite,@fortechnite,2020-10-04T11:29:37.000Z,How To Use Dual Screen Monitors with Zoom Video Call – Gadgets To Use https://fortechnite.com/how-to-use-twin-display-screens-with-zoom-video-name-devices-to-use/…,,,
SharingTheLastMinute,@demirmadeni,2020-10-03T23:01:15.000Z,"How To Use Dual Screen Monitors with Zoom Video Call https://gadgetstouse.com/blog/2020/10/03/how-to-use-dual-screen-monitors-with-zoom-video-call/… 
@gadgetstouse
 aracılığıylaHow To Use Dual Screen Monitors with Zoom Video Call – Gadgets To Use
Got yourself a two-screen desk setup? Here's how you can use dual screen monitors with Zoom video call on your Windows, Mac or Linux computer.
gadgetstouse.com",,,
Anurag Kumar,@iAnurag8,2020-10-03T11:35:21.000Z,"How To Use Dual Screen Monitors with Zoom Video Call https://gadgetstouse.com/blog/2020/10/03/how-to-use-dual-screen-monitors-with-zoom-video-call/… via 
@gadgetstouse
 @abhishek
 sir, Article By 
@ritik112rspd
 #GTUFamilyHow To Use Dual Screen Monitors with Zoom Video Call – Gadgets To Use
Got yourself a two-screen desk setup? Here's how you can use dual screen monitors with Zoom video call on your Windows, Mac or Linux computer.
gadgetstouse.com",,,1
Abhishek Bhatnagar,@abhishek,2020-10-03T11:18:24.000Z,"How To Use Dual Screen Monitors with Zoom Video Call https://gadgetstouse.com/blog/2020/10/03/how-to-use-dual-screen-monitors-with-zoom-video-call/… via 
@gadgetstouseHow To Use Dual Screen Monitors with Zoom Video Call – Gadgets To Use
Got yourself a two-screen desk setup? Here's how you can use dual screen monitors with Zoom video call on your Windows, Mac or Linux computer.
gadgetstouse.com",4,8,52
Himanshu,@Himansh71799874,2020-10-01T16:48:52.000Z,"@OnePlus_IN
 
#OnePlus8T5G #865 5G processor, android 11 with O2 OS,65 watt fast changing,48 megapixels triple camera with 10x zoom and 20 megapixel selfie camera ,dual speakers,2k amoled screen#TG family",,,
Paul Nikko Degollado,@polnix,2020-10-01T10:18:45.000Z,"salamat talaga at may Snap camera, di pwede mag virtual backgrounds sa Zoom na walang green screen sa Mac kong naka dual core i5 lang sad",,,1
Noona Park,@luuuchannn,2020-09-30T13:53:12.000Z,Fitur dual screen membuatku multi tasking antara zoom meeting dan twitter,,,
