Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
doodles_in_the_membrane,@in_doodles,2020-10-21T22:47:48.000Z,"Nothing like one of those days where you are able to come home early from lab, and able to work on some educational chemistry graphics when the mid day sun is still coming in #science #chemistry #academictwitter #notetaking0:09
40 views",,,2
Jenny Meirowsky,@jmeirowsky,2020-10-12T03:43:25.000Z,"Enjoyed the refresher on the importance of notetaking and Cornell notes in my reading this week. Due to hybrid learning, some of my lecturing is happening at home via video. Important we take the time to teach students how to take notes/learn in a year where nothing seems normal.",,,
m,@filmchae,2020-09-19T18:56:33.000Z,im kinda thinking of getting an ipad because i wanna switch to digital notetaking.... esp because im at home and printer ink is so expensive.. hmmm,1,1,
Fernando Meyer,@fmeyer,2020-09-11T07:12:46.000Z,"I’m following this “cambrian explosion “ of notetaking/knowledge base/zettelkasten apps, examples include Roam research, notion, obsidian. I’ve been trying a few, but I always return to my home backed shellscript",1,,1
LittleMissCLoe,@loe_little,2020-09-09T01:57:23.000Z,"Science one pagers on the second week of school? Kids at home and at school ...Nailed it! #mobilelearners #avid #notetaking #advancedlearners #fifthgrade #hybridlearning 
@CSUSAhq
 @HHCS_Hawks
 @CRTNation
 @JCrtwood
 @NirvaniRamnath",1,1,4
Teeline Shorthand,@TeelineOnline,2020-09-07T13:52:15.000Z,"Replying to 
@QueensuSASSNotetaking is good to use in lots of situations and to take notes quickly and effectively is easy with #Teelineshorthand and 
@TeelineOnline
 has a great course to follow at home.",,,
FDLRS/East,@FDLRSeast,2020-09-01T19:54:45.000Z,"FDLRS/East is excited to support Snap&Read in Brevard with tools to support all students to be expert learners with notetaking, outlining, and more! Snap&Read is available through Google Chrome and can be used at school and at home! #UDLQuote Tweet
BPS Tech Integrators
@BrevardEdTech
 · Sep 1
It's a snap! Snap & Read is a new app offered to all BPS students & teachers. ELL text support, dynamic text leveling, and a digital text to speech tool. If you would like more information, check out the BPS Snap & Read site below.
https://sites.google.com/view/bpssnapandread/home…",,,1
Kerri,@scribRFitz,2020-08-27T02:32:03.000Z,"Replying to 
@KellyGameDevYou immediately wrote it down when you got home and emailed yourself and added it to your notetaking software of choice, right?",,,1
Upstract News,@upstractcom,2020-08-26T11:25:01.000Z,"products #products home #home note-taking #notetaking Stay Organized This Year With a Do-It- All Planner viaHvper News - One Page Internet
The Internet on one page. Successor of Popurls, the mother of news aggregators. By @thomas
hvper.com",,,
Paper Source,@Paper_Source,2020-08-20T22:01:25.000Z,"An elevated take on back to school shopping - custom notebooks that make virtual learning and working from home a little more personal!

#papersource #schoolsupplies #workfromhome #notebook #notetaking #backtoschool #personalize",,2,3
Mangogh,@ManhattanMango,2020-08-13T05:46:03.000Z,"Listen to me. If you have teachers who don't pass out lecture notes or share their slides for you to revise at home, learn notetaking shorthand and use your pen and paper. Let your hands help your brain commit things to memory.Quote Tweet
Spencer Garcia
@Spencer_At_Work
 · Aug 13
What is your preferred note taking app/tool for research/classes/work?
#AcademicChatter #AcademicTwitter #phdlife
Show this poll",2,,6
wyatt,@velvetxero,2020-07-29T21:58:05.000Z,"Replying to 
@eggsguided
 and 
@eggsidedthat doesn't sound bad for like a dorm setting or whatever but i'll probably be living at home and i'd want something portable and with a screen for easy notetaking and productivity tasks
hell an ipad would be a good idea too cuz i had one in high school and it served me well",,,
Megan Parry-Jamieson,@DocMegPJ,2020-07-18T11:39:04.000Z,"I post my master digital notebook on my google site, so if a student is away they can see what we did and get caught up. Students who find the notetaking hard can finish up what they missed at home, and some get a head start at home the night before.",1,,
Maarja K.,@ArchivesMaarja,2020-07-13T02:41:24.000Z,"Replying to 
@imhartshorn
 and 
@DeGolierThomasYou might get a good sense of core theories and changes from asking some archivists you Follow, as well.  History Twitter and Archives Twitter somewhat siloed. That said, books on archives theory age quickly these days, as our own at home notetaking & electronic filing has, too!",,,1
JC Denton,@DeusDenton,2020-06-17T18:37:09.000Z,"Just set up openssh-server on my home machine so that I can edit my folder of markdown files using vim from my iPad.

I may be overthinking this notetaking thing",1,,3
Kevin Wang,@kevin_wang_,2020-06-12T13:07:51.000Z,"Replying to 
@firecracker_doc
 and 
@BrownMedicineThe school provides us with tons of resources, so she will be well-equipped learning-wise. I'd say a copy of FirstAid and a tablet/device for notetaking. Other than that, anything that reminds her of home or that she could go to in times of stress",,,4
Meetings Into Minutes,@MeetingsIntoMin,2020-05-21T08:15:30.000Z,"Whether you just want to brush up on your skills whilst working from home or you want to organise training for your whole team, Meet2Min can help you. 
See more details about our online learning here: https://buff.ly/2VowpVz
.
.
#notetaking #minutetaking #minutes #minutetaker",,,
Teeline Shorthand,@TeelineOnline,2020-05-16T11:41:00.000Z,"Lots of people are taking advantage of the opportunity to learn a new skill online at home. #Teelineshorthand is extremely useful for notetaking and in many work situations. We have a sale on to help you start learning with support and feedback! 
@TeelineOnline",,2,7
MyScript Nebo,@MyScriptApps,2020-05-15T13:02:52.000Z,"#Productivity 
 Nebo makes it easy to stay productive while working from home.

Use the Publish feature to easily share notes with your co-workers!

Make the most of #workingfromhome 
 http://nebo.app

#notetaking #remotework #ZoomNebo Feature Overview - The Publish Tool
For more information, visit nebo.app!
youtube.com",,,4
