Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
反復しないノート術,@notetaking_tech,2020-11-01T11:02:01.000Z,図は左、説明は右に書く。人間は反射的にノートを左上から読むからだ。図を見て何の話かイメージをもった後に説明がくるとわかりやすい。これはポスターやプレゼンテーション技術でも応用されている。#勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-11-01T11:01:54.000Z,英語は書くよりたくさん読むべし。無料の教材はたくさんある。マウスオーバー辞書で英語のニュースを読むと良い。 #勉強垢さんと繋がりたい #RT,,,1
QOwnNotes,@QOwnNotes,2020-11-01T10:50:31.000Z,"New release of QOwnNotes: v20.11.0 https://qownnotes.org/changelog.html#_20-11-0… #notetaking #NextcloudQOwnNotes Changelog
Open source markdown note taking for Linux, Mac OS X and Windows, that works together with Nextcloud Notes
qownnotes.org",,,
反復しないノート術,@notetaking_tech,2020-11-01T09:54:02.000Z,付箋ノートが流行っているようだけど、どういう順番で読むべきかわかならいし、付箋間のつながりがわかりにくい。なにより成功するための根拠が示されていないし、ノート作りが目的になりかねない。楽しいことはいいことだけど、目的は理解することだろう？ #勉強垢さんと繋がりたい #RT,,,1
反復しないノート術,@notetaking_tech,2020-11-01T09:01:58.000Z,カラフルなノートは理解していない証拠。安心するためだけに色を使っている。色は後で読み返したいところに印をつけるためだけに使おう。ノートも頭もすっきりするはずだ。#勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-11-01T09:01:52.000Z,「良い参考書を教えてください」という質問はしないように。書店で自分のお気に入りを見つければそれが最適な参考書だ。書店で目次を立ち読みしてみよう。#勉強垢さんと繋がりたい #RT,,,2
反復しないノート術,@notetaking_tech,2020-11-01T07:41:25.000Z,テストの点数をとることは、将来の夢に重要か？点数を気にせずに夢に向かって勉強出来るようになれば1人前。不思議と点数もついてくる。 #勉強垢さんと繋がりたい #RT,,,1
反復しないノート術,@notetaking_tech,2020-11-01T07:02:28.000Z,ノートの自由さは発想の自由さ。天才型のノートほど他人にはわかりにくい。天才型の人は思考がそもそも違うからだ。 #勉強垢さんと繋がりたい #RT,,,1
反復しないノート術,@notetaking_tech,2020-11-01T07:02:18.000Z,ルーズリーフはやめよう。知識が断片的になる。……なにより致命的なのは数年で擦れて消えてしまう。受験をなかったことにするなら別にいいけどね。#勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-11-01T05:34:48.000Z,黒板に書いてあることなんて写メで十分。自分の言葉で書くならともかく、先生が書いてくれたのにもう一回書く必要なんてない。書く暇があったらわからないところを検索してればいい。#勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-11-01T05:02:35.000Z,バカにされて諦める程度の夢なんて辞めてしまえ。夢はどんどん口に出すべきだ。本気なら周りも見てくれるし、協力してくれる。結果、運もついてくる。頑張れ。でも時々休め。 #勉強垢さんと繋がりたい #RT,,,2
反復しないノート術,@notetaking_tech,2020-11-01T05:02:28.000Z,勉強以外に好きな事がある人は、受験があっても継続すべき。好きな事に時間を割きたくて、めちゃくちゃ集中して効率があがる。#勉強垢さんと繋がりたい #RT,,,1
sugayan,@sugayan5,2020-11-01T01:36:01.000Z,"Research into practice: Teaching notetaking to L2 students, Language TeachingResearch into practice: Teaching notetaking to L2 students | Language Teaching | Cambridge Core
Research into practice: Teaching notetaking to L2 students
cambridge.org",,,
反復しないノート術,@notetaking_tech,2020-11-01T01:32:22.000Z,問題が解けたと喜ぶのはまだ早い。その問題を説くことはできるか？ 解けたのと理解したのとでは天と地の差だ。 #勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-11-01T01:02:50.000Z,穴埋めの穴だけが穴じゃない。説明できないもの全部穴だ。教科書の行間を説明で埋めろ。 #勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-10-31T23:34:59.000Z,数式は、数学における言葉である。じっと数式の声を聞け。突然聞けるようになる日が来る。 #勉強垢さんと繋がりたい #RT,,,
The Count,@SociableAtDusk,2020-10-31T23:28:52.000Z,"Replying to 
@SavageBeaut_What? (Stunned by your notetaking.) What are you doing? Did you just label me mid-conversation? Don't do . . . stop that. No. Wh . . .

(There's no winning with some people.)

Persistent, aren't you. All good journalists are. How do you collect your facts? I must know.",,,
反復しないノート術,@notetaking_tech,2020-10-31T23:02:23.000Z,ヒトの記憶は実は白黒。色は正確に記憶できない。ノートをとるのに色を使うのはナンセンスだ。 ノートの色を教科ごとに全部思い出すのは結構大変だろう？　毎日使っているのにね。　そういうこと。#勉強垢さんと繋がりたい #RT,,,
反復しないノート術,@notetaking_tech,2020-10-31T23:02:14.000Z,タイトル、日付、ページは必ず書くこと。後で索引になる #勉強垢さんと繋がりたい #RT,,,
Stewart Alsop III - Host of Crazy Wisdom Podcast,@StewartalsopIII,2020-10-31T22:04:34.000Z,"First questions:

What is the origin story of Roam Research? 

Why are you so obsessed with notetaking that you would toil so long on this?",,,2
反復しないノート術,@notetaking_tech,2020-10-31T21:27:33.000Z,どんな勉強法でも、その方法でどうして良いのか理解できない限り効果はない。根拠が明確に示されていて、納得のできる勉強法を選ぼう。#勉強垢さんと繋がりたい #RT,,,1
Raphael Rusitzka,@rusitzka,2020-10-31T21:07:45.000Z,"Listening to a great podcast, like 
@intelligence2
 s episode on the intellectual history of #Woke is especially good with the best, and relatively unknown, free podcast catcher 
@pod_talker
. It´s the best place if you have high standards on saving/organizing/notetaking/settings.",,,
反復しないノート術,@notetaking_tech,2020-10-31T21:01:51.000Z,計画を立てるのはとても大事だ。しかし、計画がうまくいかない時の計画を数通り準備することはもっと大事だ。大抵の物事は計画通りには進まない。 #勉強垢さんと繋がりたい　#RT,,,
反復しないノート術,@notetaking_tech,2020-10-31T21:01:43.000Z,頑張った過程は重要ではない。結果がすべてだ。だから結果が出るまで何度でも失敗すればいい。大丈夫、失敗の数だけ前進はしている。 #勉強垢さんと繋がりたい #RT,,,
aya,@blxckswns,2020-10-31T18:59:35.000Z,"Replying to 
@titlecreditsthe airs more affordable and good if its just for school things like notetaking but the pros are better in like specs & storage and editing etc it just depends what ur gonna use jt for",1,,
