Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
𝐢𝐯𝐚𝐧,@ivxnsson,2020-10-22T02:16:26.000Z,"If I had the opportunity to RT this multiple times I would. My notetaking has plummeted since we went remote and I don't feel investing in a notebook next semester. There are pros and cons to virtual learning but Zoom sessions are not it.Quote Tweet
scorpio queen
@janiyamoni
 · Oct 20
stop asking college students how school is going. we sit in front of a computer screen all day, we don’t retain any information, we’re submitting stuff at the last minute, and we’re in the middle of a pandemic. how do you think we’re doing...? stop asking thanks 
Show this thread",,,
Landmark Outreach,@LMKOutreach,2020-10-16T19:01:05.000Z,"In remote or in-person settings, the two-column note-taking method is an effective strategy for students to organize what they read into main ideas and details. #remoteteaching #remotelearning #distancelearning #distanceteaching #onlinelearning #notetakingThe Two-Column Method of Note-taking | Landmark Outreach
Learn about the two-column method of note-taking as a strategy to help students organize reading in to main ideas and details.
landmarkoutreach.org",,,
GCSouthGeorgianBay,@GeorgianSGB,2020-10-07T13:02:02.000Z,"Missed Megan's Study tips for remote learning last week? Join her Today at 11 a.m. on Webex!
Topics include:
•Mindframe
•Staying motivated
•Study tips – reading strategies, notetaking and how to review before at test
Join here:
http://georgiancollege.webex.com/meet/megan.braithwaite…",,,1
GCSouthGeorgianBay,@GeorgianSGB,2020-10-06T20:20:03.000Z,"Missed Megan's Study tips for remote learning last week? Join her on Oct.7 at 11 a.m. on Webex!
Topics include:
•Mindframe
•Staying motivated
•Study tips – reading strategies, notetaking and how to review before at test
Join here:
http://georgiancollege.webex.com/meet/megan.braithwaite…",,,
GCSouthGeorgianBay,@GeorgianSGB,2020-10-01T15:29:33.000Z,"Study tips for remote learning with Megan! TODAY Oct.1 at noon

•Mindframe
•Staying motivated
•Study tips – reading strategies, notetaking and how to review before at test

http://georgiancollege.webex.com/meet/megan.braithwaite…",,,2
MiamiOH Rinella Learning Center,@MiamiOH_RLC,2020-09-15T13:50:27.000Z,Note taking is critical to learning whether remote or in person #miamioh #loveandhonor #rlc #notetaking #studystrategies https://instagram.com/p/CFKNOTvD8N2/?igshid=19g3ms715ydcr…,,1,1
Zweig Group,@ZweigGroup,2020-09-14T22:36:02.000Z,"In our current digital and remote work environment, the basic task of note taking has become enormously important.  Read more about the importance of note taking  during meetings in this recent TZL article: https://zcu.io/6sTP  #TheZweigGroup #NoteTaking",,,2
UGA DAE,@uga_dae,2020-08-18T19:37:38.000Z,"An eLC Experience | Designed by the DAE
How to Be a Successful Remote Student • Here you will develop best practices to learning in a remote or distance learning environment, ranging from effective notetaking to critical thinking. Access eLC to get started!
#LearnDifferently",,1,4
Louisa M,@Louisam78,2020-07-11T10:00:19.000Z,"I feature in Deaf Scotland's Virtual Museum series, with an article on my career in communication support. It's got:
- Lipspeaking
- Theatre Captioning
- Electronic Notetaking
- NRCPD
- Cued Speech
- BSL
- Remote services
https://tinyurl.com/yblvsmd2
@ALSLips
 @ALAS_lips",7,4,23
Sidnet,@sidnet_en,2020-07-02T13:20:47.000Z,"Check out the screenshot-based report from our remote meetup. The event included: Vifon's talk on the #notetaking methodology #Zettelkasten, a mini-exhibition of Łukasz's watercolor paintings, online games & pizza.

#Geek #PolishDevelopers #SoftwareHouse #AfterHours #StayAtHomeMichal Wojciechowski and 5 others",1,,
Anubhav Pattnaik,@anubpattnaik,2020-06-25T18:58:22.000Z,"Before COVID-19 , weekends were meant for Netflix & chill but now they are replaced by webinars & notetaking. With everything moving remote, the number of webinars are definitely on the rise . Great to see founders/VCs/PMs/devs share their learnings to the inquisitive crowd :)",,,3
deepTalk,@deepTalk_ai,2020-06-22T21:06:42.000Z,"Totally agree. 
@deepTalk_ai
  is working on automation of #conversation #management for in-person and remote #meetings
#voicefirst #voicetech #notetakingQuote Tweet
Sam Altman
@sama
 · Jun 21
AI tools will eliminate most of the tedious work in most jobs (design, data science, programming, professional emailing, etc.)

Prediction: it will be very surprising how much more productive people are when they have never have to break rhythm and slow down for a tedious task.",,1,
Victor Aynbinder,@VA_ictor,2020-06-17T18:34:09.000Z,"#Remote conversation on #zoom.

My colleague 
@val_aynbinder
 (CTO) wrapping up her daily catchup with 
@deepTalk_ai
 remote intern:
""Remember, I'm here for you""

True #leadership
I'm proud!
#zoommeeting #remoteteam #notetaking #workbetter #productivitytools #voiceassistants #voiceai",,3,1
philnick,@philnick,2020-05-26T06:11:12.000Z,"What I learned last week (#74): A remote commencement address for all, note taking with Zettelkasten, the power of a picture, and more.
#commencement #lifeadvice #notetaking #productivity #gratitude
 #learningWhat I learned last week (#74)
What I learned last week (#74): A remote commencement address for all, note taking with Zettelkasten, the power of a picture, and more.
getonwithit.blog",,,
Louisa M,@Louisam78,2020-05-09T10:27:49.000Z,"I am currently working from home and available for Remote Captioning, Electronic Notetaking and Lipspeaking services. 

No specialist equipment needed to receive captions - 
Skype/Zoom etc for audio and Wi-Fi enabled device to read captions.

ATW enquiries welcome.  #deaf #access",,1,2
Claire Le Goues,@clegoues,2020-05-05T17:29:17.000Z,"Replying to 
@santoshgnag
 @johnregehr
 and 2 othersHilarious, I also use Notability, but it never actually occurred to me to use it as a PDF reader! It's my app of choice for remote teaching whiteboarding and notetaking, and maybe I'll need to transition to paper reading, too...does it sync as well as PDF Expert?",2,,1
Louisa M,@Louisam78,2020-04-28T12:55:37.000Z,"Replying to 
@NADP_official
 @eurociu
 and 6 othersDidn't see anything on resource page about Electronic Notetakers who providing remote services?  FYI, The Association of Notetaking Professionals has a directory of providers @ https://bit.ly/2W9PBEY.  Remote provision indicated by a 'R' next to member names.  ",1,1,2
Finn Meeks,@tfmeeks22,2020-04-23T00:50:16.000Z,Seeing a growing number of products being built on top of Zoom. Everything from board games to notetaking. It’s the new platform for remote work. Shopify-like App Store coming soon?,2,1,8
